Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Bihar, 31-01-2017, M, 11.24, 3197505.00, 40.20
Bihar, 28-02-2017, M, 8.04, 3321266.00, 40.23
Bihar, 31-03-2017, M, 5.58, 3274518.00, 38.54
Bihar, 30-04-2017, M, 3.37, 3172349.00, 36.41
Bihar, 31-05-2017, M, 5.79, 3232015.00, 37.97
Bihar, 30-06-2017, M, 3.76, 3467640.00, 39.80
Bihar, 31-07-2017, M, 3.56, 3311423.00, 37.84
Bihar, 31-08-2017, M, 5.33, 3210954.00, 37.30
Bihar, 30-09-2017, M, 7.27, 3221894.00, 38.13
Bihar, 31-10-2017, M, 6.31, 3421506.00, 39.99
Bihar, 30-11-2017, M, 4.17, 3322940.00, 37.89
Bihar, 31-12-2017, M, 7.26, 3178433.00, 37.37
Bihar, 31-01-2018, M, 10.85, 3158308.00, 38.55
Bihar, 28-02-2018, M, 9.88, 3474858.00, 41.88
Bihar, 31-03-2018, M, 12.61, 3144714.00, 39.00
Bihar, 30-04-2018, M, 11.66, 3051850.00, 37.36
Bihar, 31-05-2018, M, 13.30, 3042953.00, 37.88
Bihar, 30-06-2018, M, 11.52, 3373261.00, 41.06
Bihar, 31-07-2018, M, 11.71, 3197020.00, 38.91
Bihar, 31-08-2018, M, 13.43, 2911528.00, 36.07
Bihar, 30-09-2018, M, 11.72, 3020218.00, 36.61
Bihar, 31-10-2018, M, 11.73, 3237720.00, 39.17
Bihar, 30-11-2018, M, 14.67, 3034493.00, 37.90
Bihar, 31-12-2018, M, 12.62, 3039804.00, 37.00
Bihar, 31-01-2019, M, 17.15, 3011934.00, 38.58
Bihar, 28-02-2019, M, 15.54, 3172005.00, 39.77
Bihar, 31-03-2019, M, 13.43, 3118422.00, 38.07
Bihar, 30-04-2019, M, 18.93, 2919604.00, 37.98
Bihar, 31-05-2019, M, 19.90, 3029343.00, 39.80
Bihar, 30-06-2019, M, 13.29, 3248864.00, 39.35
Bihar, 31-07-2019, M, 16.41, 3059745.00, 38.36
